State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
GA,Tift County,Distribution of all-cause deaths (%),812,196,0.682,0.278,,,,0.034,
GA,Tift County,Distribution of COVID-19 deaths (%),812,196,0.587,0.342,,,,0.071,
GA,Tift County,Distribution of population (%),812,196,0.551,0.299,0.002,0.014,0,0.122,0.012
GA,Toombs County,Distribution of all-cause deaths (%),627,111,0.748,0.228,,,,0.022,
GA,Toombs County,Distribution of COVID-19 deaths (%),627,111,0.73,0.234,,,,,
GA,Toombs County,Distribution of population (%),627,111,0.601,0.257,0.002,0.007,0.001,0.118,0.014
GA,Troup County,Distribution of all-cause deaths (%),1040,181,0.679,0.308,,,,,
GA,Troup County,Distribution of COVID-19 deaths (%),1040,181,0.641,0.343,,,,,
GA,Troup County,Distribution of population (%),1040,181,0.558,0.362,0.002,0.023,0.001,0.037,0.017
GA,Upson County,Distribution of all-cause deaths (%),669,127,0.709,0.281,,,,,
GA,Upson County,Distribution of COVID-19 deaths (%),669,127,0.614,0.378,,,,,
GA,Upson County,Distribution of population (%),669,127,0.671,0.28,0.003,0.006,0,0.024,0.016
GA,Walton County,Distribution of all-cause deaths (%),1063,142,0.85,0.133,,,,,
GA,Walton County,Distribution of COVID-19 deaths (%),1063,142,0.803,0.183,,,,,
GA,Walton County,Distribution of population (%),1063,142,0.731,0.184,0.002,0.016,0.001,0.049,0.016
GA,Ware County,Distribution of all-cause deaths (%),781,148,0.789,0.202,,,,,
GA,Ware County,Distribution of COVID-19 deaths (%),781,148,0.75,0.243,,,,,
GA,Ware County,Distribution of population (%),781,148,0.629,0.297,0.004,0.009,0,0.044,0.017
GA,Whitfield County,Distribution of all-cause deaths (%),1167,192,0.872,0.042,,,,0.08,
GA,Whitfield County,Distribution of COVID-19 deaths (%),1167,192,0.74,0.052,,,,0.198,
GA,Whitfield County,Distribution of population (%),1167,192,0.571,0.036,0.002,0.015,0.001,0.363,0.013
HI,Honolulu County,Distribution of all-cause deaths (%),9193,314,0.169,0.01,,0.512,0.075,0.05,0.183
HI,Honolulu County,Distribution of COVID-19 deaths (%),9193,314,0.048,,,0.516,0.258,0.054,0.118
HI,Honolulu County,Distribution of population (%),9193,314,0.164,0.023,0.002,0.384,0.082,0.092,0.254
IA,Black Hawk County,Distribution of all-cause deaths (%),1831,330,0.91,0.065,,0.005,,0.013,
IA,Black Hawk County,Distribution of COVID-19 deaths (%),1831,330,0.861,0.073,,,,0.039,
IA,Black Hawk County,Distribution of population (%),1831,330,0.803,0.094,0.002,0.025,0.004,0.046,0.027
IA,Cerro Gordo County,Distribution of all-cause deaths (%),881,133,0.973,,,,,0.018,
IA,Cerro Gordo County,Distribution of COVID-19 deaths (%),881,133,0.962,,,,,,
IA,Cerro Gordo County,Distribution of population (%),881,133,0.898,0.019,0.003,0.011,0.002,0.051,0.018
IA,Dubuque County,Distribution of all-cause deaths (%),1215,221,0.974,0.012,,,,,
IA,Dubuque County,Distribution of COVID-19 deaths (%),1215,221,0.959,,,,,,
IA,Dubuque County,Distribution of population (%),1215,221,0.898,0.035,0.002,0.012,0.006,0.026,0.021
IA,Johnson County,Distribution of all-cause deaths (%),2211,259,0.913,0.043,,0.01,,0.026,
IA,Johnson County,Distribution of COVID-19 deaths (%),2211,259,0.853,0.046,,,,0.085,
IA,Johnson County,Distribution of population (%),2211,259,0.779,0.073,0.002,0.065,0,0.058,0.024
IA,Linn County,Distribution of all-cause deaths (%),2533,363,0.943,0.036,,0.006,,0.011,
IA,Linn County,Distribution of COVID-19 deaths (%),2533,363,0.942,0.033,,,,,
IA,Linn County,Distribution of population (%),2533,363,0.851,0.059,0.002,0.025,0.001,0.034,0.027
IA,Polk County,Distribution of all-cause deaths (%),6145,809,0.906,0.046,0.002,0.018,,0.025,0.003
IA,Polk County,Distribution of COVID-19 deaths (%),6145,809,0.865,0.051,,0.028,,0.049,
IA,Polk County,Distribution of population (%),6145,809,0.769,0.07,0.002,0.049,0,0.087,0.023
IA,Pottawattamie County,Distribution of all-cause deaths (%),1195,150,0.972,0.012,,,,0.013,
IA,Pottawattamie County,Distribution of COVID-19 deaths (%),1195,150,0.96,,,,,,
IA,Pottawattamie County,Distribution of population (%),1195,150,0.873,0.016,0.004,0.009,0.001,0.079,0.018
IA,Scott County,Distribution of all-cause deaths (%),2247,242,0.904,0.068,,0.008,,0.018,
IA,Scott County,Distribution of COVID-19 deaths (%),2247,242,0.847,0.095,,,,0.045,
IA,Scott County,Distribution of population (%),2247,242,0.795,0.076,0.002,0.028,0,0.07,0.028
IA,Webster County,Distribution of all-cause deaths (%),674,105,0.963,,,,,0.015,
IA,Webster County,Distribution of COVID-19 deaths (%),674,105,0.905,,,,,,
IA,Webster County,Distribution of population (%),674,105,0.865,0.045,0.004,0.012,0,0.055,0.019
IA,Woodbury County,Distribution of all-cause deaths (%),1632,342,0.879,0.019,0.041,0.018,,0.037,
IA,Woodbury County,Distribution of COVID-19 deaths (%),1632,342,0.769,0.029,0.07,0.047,,0.076,
IA,Woodbury County,Distribution of population (%),1632,342,0.708,0.043,0.015,0.028,0.004,0.173,0.028
ID,Ada County,Distribution of all-cause deaths (%),4847,584,0.93,0.006,0.004,0.011,,0.041,0.007
ID,Ada County,Distribution of COVID-19 deaths (%),4847,584,0.858,,,0.022,,0.103,
ID,Ada County,Distribution of population (%),4847,584,0.841,0.013,0.005,0.027,0.002,0.085,0.027
ID,Bannock County,Distribution of all-cause deaths (%),971,102,0.885,,0.044,,,0.046,
ID,Bannock County,Distribution of COVID-19 deaths (%),971,102,0.725,,,,,0.108,
ID,Bannock County,Distribution of population (%),971,102,0.831,0.009,0.029,0.015,0.003,0.089,0.024
ID,Bonneville County,Distribution of all-cause deaths (%),1464,198,0.921,,0.008,0.008,,0.051,0.007
ID,Bonneville County,Distribution of COVID-19 deaths (%),1464,198,0.848,,,,,0.111,
ID,Bonneville County,Distribution of population (%),1464,198,0.824,0.006,0.006,0.01,0.001,0.134,0.019
ID,Canyon County,Distribution of all-cause deaths (%),1856,216,0.878,,,0.009,,0.101,
ID,Canyon County,Distribution of COVID-19 deaths (%),1856,216,0.745,,,,,0.231,
ID,Canyon County,Distribution of population (%),1856,216,0.698,0.006,0.006,0.009,0.003,0.256,0.023
ID,Kootenai County,Distribution of all-cause deaths (%),2097,178,0.953,,0.011,0.006,,0.017,0.009
ID,Kootenai County,Distribution of COVID-19 deaths (%),2097,178,0.949,,,,,,
ID,Kootenai County,Distribution of population (%),2097,178,0.902,0.004,0.011,0.009,0.001,0.049,0.024
ID,Twin Falls County,Distribution of all-cause deaths (%),1165,176,0.911,,,0.009,,0.069,
ID,Twin Falls County,Distribution of COVID-19 deaths (%),1165,176,0.841,,,,,0.131,
ID,Twin Falls County,Distribution of population (%),1165,176,0.78,0.007,0.006,0.016,0.002,0.17,0.017
IL,Adams County,Distribution of all-cause deaths (%),1268,189,0.968,0.024,,,,,
IL,Adams County,Distribution of COVID-19 deaths (%),1268,189,0.958,,,,,,
IL,Adams County,Distribution of population (%),1268,189,0.914,0.038,0.002,0.009,0,0.018,0.02
IL,Champaign County,Distribution of all-cause deaths (%),2198,212,0.847,0.116,,0.013,,0.022,
IL,Champaign County,Distribution of COVID-19 deaths (%),2198,212,0.811,0.113,,,,0.061,
IL,Champaign County,Distribution of population (%),2198,212,0.665,0.134,0.002,0.108,0.001,0.063,0.028
IL,Cook County,Distribution of all-cause deaths (%),57052,9029,0.501,0.32,0.001,0.041,0,0.13,0.008
IL,Cook County,Distribution of COVID-19 deaths (%),57052,9029,0.397,0.276,0.001,0.058,,0.259,0.008
IL,Cook County,Distribution of population (%),57052,9029,0.42,0.23,0.001,0.077,0,0.256,0.016
IL,DeKalb County,Distribution of all-cause deaths (%),979,104,0.894,0.051,,,,0.043,
IL,DeKalb County,Distribution of COVID-19 deaths (%),979,104,0.788,,,,,0.144,
IL,DeKalb County,Distribution of population (%),979,104,0.758,0.08,0.002,0.025,0,0.116,0.018
IL,DuPage County,Distribution of all-cause deaths (%),9051,1075,0.819,0.062,,0.056,,0.06,0.003
IL,DuPage County,Distribution of COVID-19 deaths (%),9051,1075,0.72,0.073,,0.078,,0.124,
IL,DuPage County,Distribution of population (%),9051,1075,0.66,0.05,0.001,0.126,0,0.146,0.018
IL,Jackson County,Distribution of all-cause deaths (%),751,113,0.891,0.091,,,,0.013,
IL,Jackson County,Distribution of COVID-19 deaths (%),751,113,0.858,0.115,,,,,
IL,Jackson County,Distribution of population (%),751,113,0.74,0.148,0.004,0.035,0.001,0.047,0.027
IL,Jefferson County,Distribution of all-cause deaths (%),717,115,0.937,0.056,,,,,
IL,Jefferson County,Distribution of COVID-19 deaths (%),717,115,0.913,,,,,,
IL,Jefferson County,Distribution of population (%),717,115,0.853,0.085,0.002,0.012,0,0.029,0.019
IL,Kane County,Distribution of all-cause deaths (%),4532,656,0.767,0.064,,0.025,,0.137,0.005
IL,Kane County,Distribution of COVID-19 deaths (%),4532,656,0.601,0.052,,0.035,,0.308,
IL,Kane County,Distribution of population (%),4532,656,0.566,0.053,0.001,0.042,0,0.324,0.014
IL,Kankakee County,Distribution of all-cause deaths (%),1558,168,0.822,0.132,,,,0.04,
IL,Kankakee County,Distribution of COVID-19 deaths (%),1558,168,0.756,0.161,,,,0.077,
IL,Kankakee County,Distribution of population (%),1558,168,0.716,0.146,0.002,0.01,0,0.108,0.018
IL,Knox County,Distribution of all-cause deaths (%),851,139,0.921,0.053,,,,0.019,
IL,Knox County,Distribution of COVID-19 deaths (%),851,139,0.935,,,,,,
IL,Knox County,Distribution of population (%),851,139,0.824,0.08,0.002,0.009,0,0.06,0.024
IL,Lake County,Distribution of all-cause deaths (%),6766,764,0.8,0.078,,0.03,,0.087,0.004
IL,Lake County,Distribution of COVID-19 deaths (%),6766,764,0.651,0.09,,0.038,,0.219,
IL,Lake County,Distribution of population (%),6766,764,0.605,0.068,0.001,0.083,0,0.224,0.018
IL,La Salle County,Distribution of all-cause deaths (%),1293,173,0.968,0.01,,,,0.022,
IL,La Salle County,Distribution of COVID-19 deaths (%),1293,173,0.977,,,,,,
IL,La Salle County,Distribution of population (%),1293,173,0.847,0.026,0.002,0.009,0,0.103,0.012
IL,McHenry County,Distribution of all-cause deaths (%),2079,193,0.932,0.009,,0.018,,0.038,
IL,McHenry County,Distribution of COVID-19 deaths (%),2079,193,0.907,,,,,0.062,
IL,McHenry County,Distribution of population (%),2079,193,0.801,0.016,0.002,0.029,0,0.139,0.014
IL,McLean County,Distribution of all-cause deaths (%),1677,204,0.919,0.063,,,,0.011,
IL,McLean County,Distribution of COVID-19 deaths (%),1677,204,0.868,0.108,,,,,
IL,McLean County,Distribution of population (%),1677,204,0.792,0.081,0.002,0.05,0,0.052,0.023
IL,Macon County,Distribution of all-cause deaths (%),1570,169,0.851,0.139,,,,,
IL,Macon County,Distribution of COVID-19 deaths (%),1570,169,0.876,0.124,,,,,
IL,Macon County,Distribution of population (%),1570,169,0.758,0.175,0.002,0.011,0,0.024,0.029
IL,Madison County,Distribution of all-cause deaths (%),3326,368,0.904,0.084,,0.003,,0.006,
IL,Madison County,Distribution of COVID-19 deaths (%),3326,368,0.908,0.079,,,,,
IL,Madison County,Distribution of population (%),3326,368,0.846,0.087,0.002,0.01,0.001,0.034,0.02
IL,Peoria County,Distribution of all-cause deaths (%),3780,526,0.866,0.107,,0.006,,0.017,0.003
IL,Peoria County,Distribution of COVID-19 deaths (%),3780,526,0.88,0.082,,,,0.027,
IL,Peoria County,Distribution of population (%),3780,526,0.693,0.184,0.002,0.04,0,0.051,0.029
IL,Rock Island County,Distribution of all-cause deaths (%),1996,268,0.867,0.083,,0.005,,0.044,
IL,Rock Island County,Distribution of COVID-19 deaths (%),1996,268,0.825,0.09,,,,0.082,
IL,Rock Island County,Distribution of population (%),1996,268,0.709,0.105,0.002,0.026,0,0.132,0.025
IL,St. Clair County,Distribution of all-cause deaths (%),3198,421,0.709,0.273,,0.005,,0.009,
IL,St. Clair County,Distribution of COVID-19 deaths (%),3198,421,0.71,0.264,,,,,
IL,St. Clair County,Distribution of population (%),3198,421,0.612,0.302,0.003,0.015,0.001,0.043,0.024
IL,Sangamon County,Distribution of all-cause deaths (%),3306,371,0.91,0.077,,0.004,,0.007,
IL,Sangamon County,Distribution of COVID-19 deaths (%),3306,371,0.914,0.065,,,,,
IL,Sangamon County,Distribution of population (%),3306,371,0.8,0.128,0.002,0.021,0,0.024,0.024
IL,Tazewell County,Distribution of all-cause deaths (%),1255,115,0.982,0.009,,,,,
IL,Tazewell County,Distribution of COVID-19 deaths (%),1255,115,0.965,,,,,,
IL,Tazewell County,Distribution of population (%),1255,115,0.937,0.013,0.002,0.009,0,0.025,0.014
IL,Whiteside County,Distribution of all-cause deaths (%),851,163,0.925,0.013,,,,0.06,
IL,Whiteside County,Distribution of COVID-19 deaths (%),851,163,0.865,,,,,0.11,
IL,Whiteside County,Distribution of population (%),851,163,0.84,0.015,0.002,0.005,0,0.123,0.014
IL,Will County,Distribution of all-cause deaths (%),5779,717,0.797,0.107,,0.021,,0.071,0.003
IL,Will County,Distribution of COVID-19 deaths (%),5779,717,0.679,0.141,,0.026,,0.148,
IL,Will County,Distribution of population (%),5779,717,0.624,0.117,0.001,0.059,0,0.181,0.016
IL,Williamson County,Distribution of all-cause deaths (%),1067,114,0.975,0.021,,,,,
IL,Williamson County,Distribution of COVID-19 deaths (%),1067,114,0.956,,,,,,
IL,Williamson County,Distribution of population (%),1067,114,0.892,0.045,0.004,0.013,0,0.027,0.018
IL,Winnebago County,Distribution of all-cause deaths (%),4223,512,0.827,0.111,,0.01,,0.046,0.006
IL,Winnebago County,Distribution of COVID-19 deaths (%),4223,512,0.766,0.121,,,,0.094,
IL,Winnebago County,Distribution of population (%),4223,512,0.677,0.133,0.002,0.028,0,0.135,0.025
IN,Allen County,Distribution of all-cause deaths (%),5599,788,0.864,0.095,,0.014,,0.025,
IN,Allen County,Distribution of COVID-19 deaths (%),5599,788,0.848,0.088,,0.028,,0.036,
IN,Allen County,Distribution of population (%),5599,788,0.73,0.115,0.003,0.045,0,0.077,0.029
IN,Bartholomew County,Distribution of all-cause deaths (%),1067,168,0.95,0.028,,,,0.013,
IN,Bartholomew County,Distribution of COVID-19 deaths (%),1067,168,0.958,,,,,,
IN,Bartholomew County,Distribution of population (%),1067,168,0.805,0.021,0.002,0.085,0,0.072,0.015
IN,Clark County,Distribution of all-cause deaths (%),1232,118,0.923,0.068,,,,,
IN,Clark County,Distribution of COVID-19 deaths (%),1232,118,0.89,0.085,,,,,
IN,Clark County,Distribution of population (%),1232,118,0.824,0.081,0.002,0.011,0.001,0.057,0.025
IN,Delaware County,Distribution of all-cause deaths (%),1829,204,0.937,0.054,,,,,
IN,Delaware County,Distribution of COVID-19 deaths (%),1829,204,0.956,,,,,,
IN,Delaware County,Distribution of population (%),1829,204,0.865,0.07,0.002,0.013,0.001,0.026,0.023
IN,Elkhart County,Distribution of all-cause deaths (%),2258,389,0.901,0.052,,,,0.039,
IN,Elkhart County,Distribution of COVID-19 deaths (%),2258,389,0.864,0.054,,,,0.067,
IN,Elkhart County,Distribution of population (%),2258,389,0.741,0.056,0.002,0.011,0,0.168,0.021
IN,Floyd County,Distribution of all-cause deaths (%),1279,174,0.948,0.038,,,,0.008,
IN,Floyd County,Distribution of COVID-19 deaths (%),1279,174,0.92,,,,,,
IN,Floyd County,Distribution of population (%),1279,174,0.875,0.054,0.002,0.012,0,0.035,0.022
IN,Grant County,Distribution of all-cause deaths (%),908,119,0.931,0.055,,,,0.012,
IN,Grant County,Distribution of COVID-19 deaths (%),908,119,0.958,,,,,,
IN,Grant County,Distribution of population (%),908,119,0.847,0.071,0.004,0.009,0,0.044,0.025
IN,Hamilton County,Distribution of all-cause deaths (%),2354,307,0.918,0.048,,0.02,,0.012,
IN,Hamilton County,Distribution of COVID-19 deaths (%),2354,307,0.883,0.072,,,,,
IN,Hamilton County,Distribution of population (%),2354,307,0.828,0.044,0.001,0.064,0,0.043,0.02
IN,Hendricks County,Distribution of all-cause deaths (%),1863,294,0.928,0.049,,0.009,,0.013,
IN,Hendricks County,Distribution of COVID-19 deaths (%),1863,294,0.895,0.085,,,,,
IN,Hendricks County,Distribution of population (%),1863,294,0.829,0.076,0.002,0.03,0,0.043,0.02
IN,Howard County,Distribution of all-cause deaths (%),1228,141,0.936,0.054,,,,,
IN,Howard County,Distribution of COVID-19 deaths (%),1228,141,0.936,,,,,,
IN,Howard County,Distribution of population (%),1228,141,0.846,0.077,0.003,0.013,0,0.035,0.026
IN,Johnson County,Distribution of all-cause deaths (%),1390,179,0.963,0.014,,0.011,,0.009,
IN,Johnson County,Distribution of COVID-19 deaths (%),1390,179,0.955,,,,,,
IN,Johnson County,Distribution of population (%),1390,179,0.879,0.024,0.002,0.039,0.001,0.038,0.018
IN,Knox County,Distribution of all-cause deaths (%),669,124,0.987,,,,,,
IN,Knox County,Distribution of COVID-19 deaths (%),669,124,0.984,,,,,,
IN,Knox County,Distribution of population (%),669,124,0.923,0.029,0.002,0.009,0,0.023,0.013
IN,Lake County,Distribution of all-cause deaths (%),6944,849,0.625,0.279,,0.005,,0.088,0.002
IN,Lake County,Distribution of COVID-19 deaths (%),6944,849,0.562,0.307,,,,0.126,
IN,Lake County,Distribution of population (%),6944,849,0.538,0.233,0.002,0.016,0,0.196,0.015
IN,LaPorte County,Distribution of all-cause deaths (%),1350,146,0.872,0.103,,,,0.016,
IN,LaPorte County,Distribution of COVID-19 deaths (%),1350,146,0.829,0.13,,,,,
IN,LaPorte County,Distribution of population (%),1350,146,0.788,0.113,0.003,0.006,0,0.069,0.021
IN,Madison County,Distribution of all-cause deaths (%),1665,227,0.92,0.068,,,,0.009,
IN,Madison County,Distribution of COVID-19 deaths (%),1665,227,0.916,0.044,,,,,
IN,Madison County,Distribution of population (%),1665,227,0.846,0.084,0.002,0.006,0,0.044,0.019
IN,Marion County,Distribution of all-cause deaths (%),12877,1796,0.73,0.225,0.001,0.01,0.001,0.03,0.003
IN,Marion County,Distribution of COVID-19 deaths (%),12877,1796,0.675,0.24,,0.014,,0.064,
IN,Marion County,Distribution of population (%),12877,1796,0.541,0.284,0.002,0.038,0,0.109,0.027
IN,Monroe County,Distribution of all-cause deaths (%),1608,203,0.965,0.019,,0.006,,,
IN,Monroe County,Distribution of COVID-19 deaths (%),1608,203,0.985,,,,,,
IN,Monroe County,Distribution of population (%),1608,203,0.829,0.035,0.002,0.072,0.001,0.036,0.025
IN,Porter County,Distribution of all-cause deaths (%),1948,207,0.917,0.029,,0.006,,0.045,
IN,Porter County,Distribution of COVID-19 deaths (%),1948,207,0.894,,,,,0.048,
IN,Porter County,Distribution of population (%),1948,207,0.823,0.041,0.002,0.015,0,0.104,0.015
IN,St. Joseph County,Distribution of all-cause deaths (%),3615,420,0.851,0.119,,0.003,,0.022,0.003
IN,St. Joseph County,Distribution of COVID-19 deaths (%),3615,420,0.817,0.124,,,,0.043,
IN,St. Joseph County,Distribution of population (%),3615,420,0.718,0.133,0.003,0.026,0.001,0.091,0.028
IN,Tippecanoe County,Distribution of all-cause deaths (%),1842,224,0.946,0.025,,0.007,,0.018,
IN,Tippecanoe County,Distribution of COVID-19 deaths (%),1842,224,0.938,,,,,,
IN,Tippecanoe County,Distribution of population (%),1842,224,0.747,0.056,0.002,0.087,0,0.087,0.02
IN,Vanderburgh County,Distribution of all-cause deaths (%),3277,441,0.921,0.065,,0.003,,0.007,
IN,Vanderburgh County,Distribution of COVID-19 deaths (%),3277,441,0.925,0.054,,,,,
IN,Vanderburgh County,Distribution of population (%),3277,441,0.829,0.097,0.002,0.014,0.002,0.028,0.028
IN,Vigo County,Distribution of all-cause deaths (%),1786,248,0.953,0.039,,,,,
IN,Vigo County,Distribution of COVID-19 deaths (%),1786,248,0.931,0.056,,,,,
IN,Vigo County,Distribution of population (%),1786,248,0.851,0.073,0.003,0.021,0,0.028,0.023
IN,Warrick County,Distribution of all-cause deaths (%),1206,201,0.958,0.026,,,,0.008,
IN,Warrick County,Distribution of COVID-19 deaths (%),1206,201,0.925,,,,,,
IN,Warrick County,Distribution of population (%),1206,201,0.919,0.017,0.002,0.027,0,0.02,0.015
IN,Wayne County,Distribution of all-cause deaths (%),1339,210,0.948,0.04,,,,,
IN,Wayne County,Distribution of COVID-19 deaths (%),1339,210,0.967,,,,,,
IN,Wayne County,Distribution of population (%),1339,210,0.877,0.048,0.002,0.011,0.001,0.032,0.029
KS,Ellis County,Distribution of all-cause deaths (%),496,120,0.938,,,,,0.042,
KS,Ellis County,Distribution of COVID-19 deaths (%),496,120,0.9,,,,,0.083,
KS,Ellis County,Distribution of population (%),496,120,0.891,0.012,0.003,0.017,0,0.059,0.017
KS,Johnson County,Distribution of all-cause deaths (%),5480,697,0.888,0.049,0.005,0.017,,0.031,0.011
KS,Johnson County,Distribution of COVID-19 deaths (%),5480,697,0.834,0.059,,0.02,,0.066,
KS,Johnson County,Distribution of population (%),5480,697,0.793,0.047,0.003,0.053,0,0.079,0.024
KS,Reno County,Distribution of all-cause deaths (%),971,143,0.922,0.015,,,,0.039,0.02
KS,Reno County,Distribution of COVID-19 deaths (%),971,143,0.881,,,,,,
KS,Reno County,Distribution of population (%),971,143,0.839,0.031,0.006,0.005,0,0.097,0.021
KS,Saline County,Distribution of all-cause deaths (%),865,144,0.901,0.035,,0.013,,0.034,
KS,Saline County,Distribution of COVID-19 deaths (%),865,144,0.861,,,,,0.076,
KS,Saline County,Distribution of population (%),865,144,0.796,0.032,0.005,0.022,0,0.118,0.027
KS,Sedgwick County,Distribution of all-cause deaths (%),7270,840,0.813,0.085,0.008,0.014,,0.05,0.03
KS,Sedgwick County,Distribution of COVID-19 deaths (%),7270,840,0.78,0.068,,0.026,,0.093,0.025
KS,Sedgwick County,Distribution of population (%),7270,840,0.675,0.087,0.008,0.045,0.001,0.15,0.033
KS,Shawnee County,Distribution of all-cause deaths (%),2924,402,0.832,0.071,0.013,0.006,,0.058,0.018
KS,Shawnee County,Distribution of COVID-19 deaths (%),2924,402,0.821,0.062,0.025,,,0.08,
KS,Shawnee County,Distribution of population (%),2924,402,0.734,0.077,0.009,0.015,0.001,0.128,0.036
KS,Wyandotte County,Distribution of all-cause deaths (%),2522,410,0.639,0.227,0.006,0.014,,0.097,0.016
KS,Wyandotte County,Distribution of COVID-19 deaths (%),2522,410,0.58,0.224,0.024,,,0.137,
KS,Wyandotte County,Distribution of population (%),2522,410,0.402,0.215,0.004,0.052,0.002,0.298,0.027
KY,Boyd County,Distribution of all-cause deaths (%),1381,173,0.985,0.009,,,,,
KY,Boyd County,Distribution of COVID-19 deaths (%),1381,173,0.988,,,,,,
KY,Boyd County,Distribution of population (%),1381,173,0.93,0.027,0.003,0.006,0,0.019,0.015
KY,Boyle County,Distribution of all-cause deaths (%),678,126,0.926,0.063,,,,,
KY,Boyle County,Distribution of COVID-19 deaths (%),678,126,0.873,0.127,,,,,
KY,Boyle County,Distribution of population (%),678,126,0.852,0.08,0.002,0.01,0,0.034,0.022
KY,Campbell County,Distribution of all-cause deaths (%),951,173,0.967,0.022,,,,,
KY,Campbell County,Distribution of COVID-19 deaths (%),951,173,0.931,,,,,,
KY,Campbell County,Distribution of population (%),951,173,0.922,0.029,0.001,0.01,0,0.022,0.016
KY,Daviess County,Distribution of all-cause deaths (%),1634,221,0.952,0.032,,,,0.01,
KY,Daviess County,Distribution of COVID-19 deaths (%),1634,221,0.937,,,,,,
KY,Daviess County,Distribution of population (%),1634,221,0.875,0.049,0.001,0.019,0.001,0.033,0.022
KY,Fayette County,Distribution of all-cause deaths (%),5918,445,0.88,0.095,,0.006,,0.015,0.003
KY,Fayette County,Distribution of COVID-19 deaths (%),5918,445,0.836,0.106,,,,0.045,
KY,Fayette County,Distribution of population (%),5918,445,0.707,0.15,0.002,0.041,0,0.074,0.026
KY,Hardin County,Distribution of all-cause deaths (%),1349,133,0.881,0.088,,0.013,,0.011,
KY,Hardin County,Distribution of COVID-19 deaths (%),1349,133,0.88,0.098,,,,,
KY,Hardin County,Distribution of population (%),1349,133,0.756,0.121,0.004,0.021,0.003,0.058,0.037
KY,Hopkins County,Distribution of all-cause deaths (%),852,134,0.923,0.074,,,,,
KY,Hopkins County,Distribution of COVID-19 deaths (%),852,134,0.851,0.149,,,,,
KY,Hopkins County,Distribution of population (%),852,134,0.882,0.066,0.002,0.006,0.001,0.022,0.021
KY,Jefferson County,Distribution of all-cause deaths (%),13024,1415,0.798,0.179,,0.008,,0.013,0.002
KY,Jefferson County,Distribution of COVID-19 deaths (%),13024,1415,0.765,0.189,,0.01,,0.034,
KY,Jefferson County,Distribution of population (%),13024,1415,0.665,0.219,0.001,0.03,0,0.059,0.024
KY,Kenton County,Distribution of all-cause deaths (%),2063,122,0.961,0.027,,,,0.008,
KY,Kenton County,Distribution of COVID-19 deaths (%),2063,122,0.934,,,,,,
KY,Kenton County,Distribution of population (%),2063,122,0.882,0.048,0.001,0.013,0.001,0.034,0.022
KY,McCracken County,Distribution of all-cause deaths (%),1605,207,0.912,0.082,,,,,
KY,McCracken County,Distribution of COVID-19 deaths (%),1605,207,0.884,0.111,,,,,
KY,McCracken County,Distribution of population (%),1605,207,0.83,0.108,0.003,0.009,0,0.027,0.022
KY,Pike County,Distribution of all-cause deaths (%),1522,149,0.989,0.009,,,,,
KY,Pike County,Distribution of COVID-19 deaths (%),1522,149,0.987,,,,,,
KY,Pike County,Distribution of population (%),1522,149,0.968,0.007,0.001,0.005,0,0.01,0.008
KY,Warren County,Distribution of all-cause deaths (%),2011,301,0.904,0.074,,0.012,,0.008,
KY,Warren County,Distribution of COVID-19 deaths (%),2011,301,0.91,0.063,,,,,
KY,Warren County,Distribution of population (%),2011,301,0.773,0.095,0.002,0.044,0.005,0.056,0.026
LA,Bossier Parish,Distribution of all-cause deaths (%),1218,155,0.739,0.239,,,,0.013,
LA,Bossier Parish,Distribution of COVID-19 deaths (%),1218,155,0.677,0.297,,,,,
LA,Bossier Parish,Distribution of population (%),1218,155,0.659,0.227,0.004,0.017,0.001,0.069,0.023
LA,Caddo Parish,Distribution of all-cause deaths (%),5119,941,0.552,0.433,,0.003,,0.008,
LA,Caddo Parish,Distribution of COVID-19 deaths (%),5119,941,0.496,0.487,,,,,
LA,Caddo Parish,Distribution of population (%),5119,941,0.443,0.496,0.004,0.013,0,0.029,0.016
LA,Calcasieu Parish,Distribution of all-cause deaths (%),2555,303,0.734,0.244,,0.006,,0.014,
LA,Calcasieu Parish,Distribution of COVID-19 deaths (%),2555,303,0.69,0.274,,,,,
LA,Calcasieu Parish,Distribution of population (%),2555,303,0.666,0.255,0.005,0.013,0,0.041,0.019
LA,East Baton Rouge Parish,Distribution of all-cause deaths (%),7168,1129,0.553,0.422,,0.007,,0.015,
LA,East Baton Rouge Parish,Distribution of COVID-19 deaths (%),7168,1129,0.491,0.476,,,,0.023,
LA,East Baton Rouge Parish,Distribution of population (%),7168,1129,0.44,0.467,0.002,0.033,0,0.044,0.014
LA,Jefferson Parish,Distribution of all-cause deaths (%),6700,1065,0.618,0.3,0.002,0.017,,0.06,0.002
LA,Jefferson Parish,Distribution of COVID-19 deaths (%),6700,1065,0.444,0.452,,0.018,,0.083,
LA,Jefferson Parish,Distribution of population (%),6700,1065,0.519,0.27,0.004,0.042,0,0.149,0.015
LA,Lafayette Parish,Distribution of all-cause deaths (%),3342,436,0.712,0.266,,0.006,,0.014,
LA,Lafayette Parish,Distribution of COVID-19 deaths (%),3342,436,0.626,0.346,,,,0.025,
